Baseline 100%T,,TigE_30x_2ndbase,,TigE_60x_2ndbase1,,TigE_90x_2ndbase,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
630.0113525,0.002994929207,630.0113525,0.009887858294,630.0113525,0.008148876019,630.0113525,0.003120607231,
628.9833984,0.002824887633,628.9833984,0.01032222342,628.9833984,0.008333892561,628.9833984,0.003160734894,
627.9918213,0.002918252489,627.9918213,0.01032922138,627.9918213,0.008266002871,627.9918213,0.003227857174,
627.000061,0.003002071055,627.000061,0.01028413232,627.000061,0.008291384205,627.000061,0.003089034464,
626.0079346,0.002988048131,626.0079346,0.01029521227,626.0079346,0.008526246995,626.0079346,0.003161725821,
625.015564,0.002932299394,625.015564,0.01064306963,625.015564,0.008431352675,625.015564,0.003332681721,
623.986145,0.002863789443,623.986145,0.01066617575,623.986145,0.008503148332,623.986145,0.003307483857,
622.9932861,0.002733106026,622.9932861,0.01104005892,622.9932861,0.008879506029,622.9932861,0.003462058259,
622.000061,0.002962505445,622.000061,0.01082593948,622.000061,0.008616489358,622.000061,0.003287530271,
621.0065918,0.002831349382,621.0065918,0.01116710436,621.0065918,0.008591907099,621.0065918,0.003204282373,
620.0128174,0.002885521622,620.0128174,0.01112025511,620.0128174,0.008691299707,620.0128174,0.003342463868,
618.9819946,0.00298403413,618.9819946,0.01104008593,618.9819946,0.008581741713,618.9819946,0.003346820129,
617.9877319,0.002942306921,617.9877319,0.0112755103,617.9877319,0.008697479963,617.9877319,0.003387542674,
616.993103,0.003024461912,616.993103,0.01108073909,616.993103,0.00831898395,616.993103,0.003254745621,
615.998291,0.002903294051,615.998291,0.01154527441,615.998291,0.008722781204,615.998291,0.003518501529,
615.0031738,0.002987943823,615.0031738,0.01144267432,615.0031738,0.008604924195,615.0031738,0.003459814237,
614.0078125,0.00296902121,614.0078125,0.0116913477,614.0078125,0.008745389059,614.0078125,0.003399491543,
613.012146,0.003168296767,613.012146,0.01133210119,613.012146,0.008463870734,613.012146,0.003253441537,
