Baseline 100%T,,100x,,200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
506.9829712,0.01194905024,506.9829712,0.2310523391,506.9829712,0.1042816043,
505.9990234,0.01195674017,505.9990234,0.2334127724,505.9990234,0.1053357869,
505.0148926,0.01218257193,505.0148926,0.2353120446,505.0148926,0.105993107,
503.9927063,0.01214381214,503.9927063,0.2377429754,503.9927063,0.1073519737,
503.0081787,0.01182095148,503.0081787,0.2405121028,503.0081787,0.1086907312,
501.9855652,0.01192717906,501.9855652,0.2429766953,501.9855652,0.109800376,
501.0005188,0.01181959454,501.0005188,0.2458232194,501.0005188,0.1111130491,
500.0153809,0.01163013652,500.0153809,0.2482648641,500.0153809,0.1122203618,
498.9920959,0.01155976206,498.9920959,0.2506008446,498.9920959,0.1134697497,
498.0064392,0.01158390101,498.0064392,0.2532690167,498.0064392,0.1144468337,
496.9827576,0.01162864733,496.9827576,0.2562878132,496.9827576,0.1158296093,
495.9967651,0.01123712305,495.9967651,0.2592444718,495.9967651,0.1171386987,
495.0105591,0.01068063453,495.0105591,0.2621238232,495.0105591,0.1187119037,
493.9862671,0.01013309881,493.9862671,0.2651448548,493.9862671,0.1200424433,
492.9995728,0.01019197982,492.9995728,0.2683087289,492.9995728,0.1214288399,
492.0127869,0.0111527089,492.0127869,0.270750165,492.0127869,0.1224582642,
490.9877319,0.0103010172,490.9877319,0.2749328613,490.9877319,0.1242678761,
490.0005188,0.009763013572,490.0005188,0.2785682976,490.0005188,0.1260622889,
489.013092,0.01011791639,489.013092,0.2814048231,489.013092,0.1274314076,
487.9874878,0.01084658783,487.9874878,0.2847743332,487.9874878,0.1287953258,
486.9996643,0.01024983451,486.9996643,0.2887265682,486.9996643,0.1306895763,
486.0116577,0.009548358619,486.0116577,0.2926484346,486.0116577,0.1325918883,
484.9854431,0.01107386127,484.9854431,0.2958285809,484.9854431,0.1340144426,
483.9970093,0.01207710709,483.9970093,0.2992046773,483.9970093,0.1353467107,
483.0083923,0.01158594899,483.0083923,0.3032864928,483.0083923,0.1373681575,
481.9815369,0.01199468505,481.9815369,0.3073353767,481.9815369,0.1390653402,
480.9925232,0.01217306778,480.9925232,0.3116711378,480.9925232,0.1411882192,
480.0032959,0.0126470346,480.0032959,0.3159365356,480.0032959,0.1431351304,
479.0137939,0.01338938996,479.0137939,0.3198409677,479.0137939,0.1450335383,
477.986145,0.01392813772,477.986145,0.324167341,477.986145,0.1469709277,
476.9962769,0.01465673,476.9962769,0.3283076882,476.9962769,0.1488582045,
476.0063171,0.01508083008,476.0063171,0.3328389823,476.0063171,0.1510653496,
475.0161133,0.01563034952,475.0161133,0.3373169899,475.0161133,0.1530299038,
473.9876099,0.01646229438,473.9876099,0.3425355852,473.9876099,0.155251056,
472.9970398,0.01696290448,472.9970398,0.3468417525,472.9970398,0.1573131233,
472.0062561,0.01749443635,472.0062561,0.3514712155,472.0062561,0.1595549136,
471.0152283,0.01809033379,471.0152283,0.3558995128,471.0152283,0.1616215706,
469.9859924,0.01847331226,469.9859924,0.3612543643,469.9859924,0.1640139669,
468.9946289,0.01901494712,468.9946289,0.3663478792,468.9946289,0.1664114594,
468.0029907,0.01955265366,468.0029907,0.3713794351,468.0029907,0.1688969433,
467.0112915,0.01993931085,467.0112915,0.3769205511,467.0112915,0.1712715775,
465.9812012,0.02047119103,465.9812012,0.3819712996,465.9812012,0.173535645,
464.9889832,0.02081149258,464.9889832,0.3874638975,464.9889832,0.1761349291,
463.9967041,0.02105431445,463.9967041,0.3934822679,463.9967041,0.1789779216,
463.0041809,0.02117856219,463.0041809,0.3997158706,463.0041809,0.1816827357,
462.0114441,0.02125760727,462.0114441,0.4053636789,462.0114441,0.1844559908,
461.0185852,0.02219700627,461.0185852,0.4104173183,461.0185852,0.1866206378,
459.9873047,0.02271461114,459.9873047,0.415934056,459.9873047,0.1893732548,
