Baseline 100%T,,SAM synthesis rotovap 200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
429.0150452,0.001650047721,429.0150452,-0.0009897861164,
428.0161438,0.001419288688,428.0161438,-0.0009157595341,
427.0170288,0.001201994251,427.0170288,-0.0008167104679,
426.0177612,0.001421859721,426.0177612,-0.001073199441,
425.0183716,0.001158491243,425.0183716,-0.0007876166492,
424.0187378,0.0008802118246,424.0187378,-0.0004734550603,
423.0189514,0.0007228456088,423.0189514,-0.0007420858601,
422.0190125,0.000528472825,422.0190125,-0.0008314891602,
421.0189514,0.0006394915981,421.0189514,-0.0008309724508,
420.0185852,0.0001329706865,420.0185852,-0.0005812168238,
419.018158,0.0001719427528,419.018158,-0.001000375021,
418.0174866,-0.00025490197,418.0174866,-0.0005956933601,
417.0166931,-0.0002487446764,417.0166931,-0.001042780001,
416.0157166,-9.312773182E-005,416.0157166,-0.001400809735,
415.0145569,-0.0008965404704,415.0145569,-0.0009577077581,
414.0132751,-0.0009475310217,414.0132751,-0.0009879266145,
413.0117493,-0.001242765808,413.0117493,-0.0007169669261,
412.0101318,-0.001276216819,412.0101318,-0.0009181359783,
411.0083008,-0.001429501222,411.0083008,-0.001000581658,
410.0063171,-0.001646690536,410.0063171,-0.001258717268,
409.0042114,-0.00201638462,409.0042114,-0.0009575527511,
408.0018921,-0.001955469372,408.0018921,-0.000929449976,
406.9993896,-0.002304302296,406.9993896,-0.0008173822425,
405.9967346,-0.0022041786,405.9967346,-0.0008431670722,
404.993927,-0.002602218883,404.993927,-0.0005308038089,
403.9909058,-0.002280663932,403.9909058,-0.0009573461139,
402.9878235,-0.002277419437,402.9878235,-0.0009721717215,
401.9844971,-0.002507671714,401.9844971,-0.001091274549,
400.9810181,-0.001987731783,400.9810181,-0.001108729164,
400.0159607,-0.001457313658,400.0159607,-0.001480893581,
399.012207,-0.001848305925,399.012207,-0.001000530086,
398.0082397,-0.001533260103,398.0082397,-0.001102583949,
397.0041199,-0.001666546799,397.0041199,-0.001089415397,
395.9998474,-0.001585362363,395.9998474,-0.0009841558058,
394.9954224,-0.001442814246,394.9954224,-0.000809734338,
393.9908142,-0.001254639123,393.9908142,-0.0008904439746,
392.986084,-0.0009503206238,392.986084,-0.0009637000039,
391.9811401,-0.0006271264283,391.9811401,-0.000672979455,
391.0147705,-0.0002653536503,391.0147705,-0.0006667246926,
390.009491,-0.0001364493946,390.009491,-0.0009298632503,
389.0041199,0.0001887497201,389.0041199,-0.0009238188504,
387.9985657,0.0008246292127,387.9985657,-0.0008103027358,
386.9928894,0.001245605294,386.9928894,-0.001119780005,
385.9869995,0.001653841464,385.9869995,-0.0006917431601,
384.9810181,0.002056739759,384.9810181,-0.0009275384946,
384.0135193,0.002941186307,384.0135193,-0.0009252137388,
383.0071716,0.00297186221,383.0071716,-0.0007833273266,
382.0007324,0.003541127779,382.0007324,-0.0006326062721,
380.9940796,0.004260302521,380.9940796,-0.0006368970498,
379.9872742,0.004739367869,379.9872742,-0.000740483636,
379.0190735,0.005364443175,379.0190735,-0.0001359318267,
378.0119934,0.006286517251,378.0119934,-0.0009474793915,
377.0047302,0.00635719765,377.0047302,-0.0001214399817,
375.997345,0.007065189071,375.997345,-0.0005298213218,
374.9897461,0.008330383338,374.9897461,-0.000966747757,
373.9820862,0.008799168281,373.9820862,-0.001070462284,
373.01297,0.008838001639,373.01297,-0.0006178208278,
372.0049744,0.009663481265,372.0049744,-0.0005817855708,
370.9968262,0.0102212904,370.9968262,-0.000699393102,
369.9884949,0.01116689201,369.9884949,-0.001566843479,
369.0188293,0.01167903561,369.0188293,-0.001017936622,
368.0102234,0.01180908736,368.0102234,-0.0005499873077,
367.0014648,0.01220054273,367.0014648,-0.0009189625853,
365.9925842,0.01295080129,365.9925842,-0.001395958709,
364.9835205,0.01305679884,364.9835205,-0.0008006393327,
364.0131836,0.01434299257,364.0131836,-0.001766227302,
363.0038147,0.01366030984,363.0038147,-0.001103048795,
361.9943542,0.01412814856,361.9943542,-0.0008926655864,
360.9847107,0.01483862009,360.9847107,-0.001183239161,
360.0137329,0.01472203713,360.0137329,-0.000939162157,
359.0037842,0.01457440574,359.0037842,-0.0009127630619,
357.9937744,0.01519941259,357.9937744,-0.0009576044395,
356.9835205,0.01517775189,356.9835205,-0.000770820945,
356.0120239,0.01574221067,356.0120239,-0.001065969234,
355.0015564,0.01555326115,355.0015564,-0.0006506997161,
353.9909058,0.01595334336,353.9909058,-0.0009261952946,
353.0189819,0.01652859896,353.0189819,-0.001364890952,
352.0080872,0.01599851437,352.0080872,-0.0006045858026,
350.9970093,0.01632877067,350.9970093,-0.0009739796515,
349.9858093,0.01647337154,349.9858093,-0.0008980387938,
349.0133667,0.01670194045,349.0133667,-0.0009580693441,
348.0018616,0.01683084294,348.0018616,-0.001110329991,
346.9902039,0.01695956662,346.9902039,-0.001024806174,
346.017334,0.0169929713,346.017334,-0.0004320289299,
345.0054321,0.01701388881,345.0054321,0.0004572833132,
343.9934082,0.01726297103,343.9934082,-0.0005968824844,
342.9812012,0.01766085811,342.9812012,-0.0009573978023,
342.007843,0.01751901582,342.007843,-0.0005455922219,
340.9953613,0.01782656088,340.9953613,-0.0007105060504,
339.9827881,0.01786928438,339.9827881,-0.0004522511736,
339.0089722,0.01791031286,339.0089722,-0.0007294748793,
337.9961243,0.01829046011,337.9961243,-0.0006603664369,
336.9831238,0.01859882288,336.9831238,-0.0008018795634,
336.0089417,0.01879872568,336.0089417,-0.0008095276426,
334.9956665,0.01885154843,334.9956665,-0.0005013805348,
333.9822083,0.01920034923,333.9822083,-0.0007249265327,
333.0076599,0.01927045733,333.0076599,-0.0001490775903,
331.993988,0.01987253688,331.993988,-0.0008131448994,
331.0191956,0.02007009834,331.0191956,-0.0005504009314,
330.0052185,0.02026924305,330.0052185,-0.0006009151111,
328.9911804,0.02088015154,328.9911804,-0.0002051754855,
