Baseline 100%T,,TigE 200,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
538.0164795,-0.01581682265,538.0164795,0.09755131602,
537.001709,-0.01537740137,537.001709,0.09838035703,
535.9867554,-0.0149216773,535.9867554,0.09939018637,
535.0091553,-0.01442180667,535.0091553,0.09991490096,
533.9937134,-0.01380126085,533.9937134,0.1005193889,
533.015686,-0.0133571336,533.015686,0.1016931832,
531.9997559,-0.01274396293,531.9997559,0.1027062014,
530.9836426,-0.01202242263,530.9836426,0.1033922955,
530.0050049,-0.01139520947,530.0050049,0.1040761843,
528.9884033,-0.01099551003,528.9884033,0.1051368564,
528.0092163,-0.01062368415,528.0092163,0.1061475649,
526.9921875,-0.01006036531,526.9921875,0.106955573,
526.0126343,-0.009586668573,526.0126343,0.1079709306,
524.9950562,-0.009053844959,524.9950562,0.1090534478,
524.0150757,-0.008583870716,524.0150757,0.1099264249,
522.9971924,-0.008218609728,522.9971924,0.1109117642,
522.0167236,-0.007743661292,522.0167236,0.1118758991,
520.998291,-0.007270179223,520.998291,0.1129408404,
520.0174561,-0.006861974485,520.0174561,0.1139717847,
518.9985352,-0.006560949609,518.9985352,0.1150385067,
518.0172119,-0.006291914731,518.0172119,0.116318576,
516.9979858,-0.005839833058,516.9979858,0.1172012761,
516.0161743,-0.005571680143,516.0161743,0.1181140468,
514.99646,-0.00533230789,514.99646,0.1195655391,
514.0143433,-0.005086458754,514.0143433,0.1205151007,
512.9941406,-0.004847432952,512.9941406,0.1216127351,
512.0114746,-0.004732735921,512.0114746,0.1228371635,
510.9909363,-0.004668871406,510.9909363,0.123931013,
510.0078735,-0.004408604465,510.0078735,0.124869369,
508.9868774,-0.004417367745,508.9868774,0.1262348592,
508.0033875,-0.004273285624,508.0033875,0.1275056005,
506.9819031,-0.004284974188,506.9819031,0.1286985278,
505.9980469,-0.00436181156,505.9980469,0.1299444139,
505.0139465,-0.00437477883,505.0139465,0.1309916824,
503.9917908,-0.004283538554,503.9917908,0.1322991103,
503.0072937,-0.004431717098,503.0072937,0.1338009536,
501.9847717,-0.004508733284,501.9847717,0.1350327581,
500.9998474,-0.004597621039,500.9998474,0.1363998055,
500.0147095,-0.004637934733,500.0147095,0.137648508,
498.9915161,-0.004950071685,498.9915161,0.1391923577,
498.006012,-0.005072745029,498.006012,0.1405577362,
496.9822998,-0.005248378962,496.9822998,0.1422334015,
495.9963989,-0.0055363602,495.9963989,0.1437473446,
495.0102234,-0.005709200632,495.0102234,0.1451044977,
493.9859924,-0.005912412424,493.9859924,0.1464510113,
492.9994202,-0.006006068084,492.9994202,0.1479777098,
492.0126648,-0.006274565123,492.0126648,0.1500756741,
490.9877319,-0.006605313625,490.9877319,0.1517127901,
490.0006104,-0.006524282042,490.0006104,0.1533050835,
489.0132141,-0.006626678165,489.0132141,0.1549826264,
487.9877014,-0.006884447765,487.9877014,0.157064572,
486.9998779,-0.006831142586,486.9998779,0.158911407,
486.0119324,-0.006739958655,486.0119324,0.1607202888,
484.9858093,-0.006698411889,484.9858093,0.1626639664,
483.997406,-0.006640699226,483.997406,0.1648965776,
483.0088501,-0.006469402462,483.0088501,0.1666023135,
481.9820557,-0.006354163866,481.9820557,0.168940261,
480.993103,-0.005840241909,480.993103,0.1710253805,
480.0039673,-0.005193184596,480.0039673,0.1729936004,
479.0146484,-0.004796437453,479.0146484,0.175388813,
477.98703,-0.004109206609,477.98703,0.1773296744,
476.9972839,-0.003758023027,476.9972839,0.1798383147,
476.0073242,-0.002980767516,476.0073242,0.1819510162,
475.0171814,-0.002404711675,475.0171814,0.1843995452,
473.988739,-0.001807423192,473.988739,0.1868944615,
472.9981995,-0.001212461386,472.9981995,0.1893287003,
472.0074768,-0.0005740817869,472.0074768,0.1915192604,
471.0166016,-6.093129559E-005,471.0166016,0.19409962,
469.9873352,0.000359756843,469.9873352,0.1968191117,
468.9960327,0.0009978588205,468.9960327,0.1995530277,
468.0045776,0.001305006561,468.0045776,0.2021192908,
467.0128479,0.001803877181,467.0128479,0.2048182189,
465.9828491,0.002311415039,465.9828491,0.2073724717,
464.9908142,0.002730058273,464.9908142,0.2104001343,
463.9985046,0.003131010337,463.9985046,0.2133938968,
463.006073,0.003347837599,463.006073,0.2163521349,
462.0134583,0.003658270929,462.0134583,0.2193128169,
460.9823914,0.003873089328,460.9823914,0.2220187932,
459.9893494,0.004149791785,459.9893494,0.225146845,
458.9961548,0.004363258369,458.9961548,0.2285794169,
458.0027466,0.004532516934,458.0027466,0.2316967696,
457.0092163,0.004739577416,457.0092163,0.2347227037,
456.0154419,0.004913223907,456.0154419,0.2377005517,
454.9832458,0.004973259754,454.9832458,0.24086079,
453.9891052,0.005194833968,453.9891052,0.2439976484,
452.994812,0.005247415509,452.994812,0.2475346923,
452.0002441,0.005421029404,452.0002441,0.2508213818,
451.0055542,0.00541072851,451.0055542,0.2539509237,
450.0107117,0.005473087542,450.0107117,0.25707829,
449.0156555,0.005620331969,449.0156555,0.2603039145,
447.9821167,0.005631267093,447.9821167,0.2638520598,
446.9866638,0.005704700015,446.9866638,0.2675220966,
445.9910583,0.005688150413,445.9910583,0.2710219026,
444.9952393,0.005723243579,444.9952393,0.2742856145,
443.9992981,0.005732004531,443.9992981,0.2778221071,
443.0031128,0.005815292243,443.0031128,0.2810599506,
442.0067749,0.005731191486,442.0067749,0.2848075032,
441.0102844,0.005694103893,441.0102844,0.2881607711,
440.0135803,0.00570784742,440.0135803,0.2915903032,
439.0166931,0.005580369849,439.0166931,0.2952219844,
437.9812317,0.005618181545,437.9812317,0.2988757193,
436.9840393,0.005436389241,436.9840393,0.3025847971,
435.9866333,0.00527382642,435.9866333,0.306163758,
434.9890137,0.004961686675,434.9890137,0.3097111285,
433.991272,0.00496349344,433.991272,0.3128927946,
432.9933472,0.004759650212,432.9933472,0.3164046109,
431.9952087,0.00457594078,431.9952087,0.3199121058,
430.9968872,0.004521348048,430.9968872,0.3233886957,
429.9984131,0.004335072823,429.9984131,0.326505661,
428.9997559,0.004389981739,428.9997559,0.3297961652,
428.0009155,0.004348302726,428.0009155,0.3326634467,
427.0019226,0.004147648811,427.0019226,0.3357825577,
426.0027771,0.003959783353,426.0027771,0.3388260603,
425.0034485,0.003794925753,425.0034485,0.3420282304,
424.0038757,0.003619219642,424.0038757,0.3447498679,
423.0042114,0.003389447229,423.0042114,0.3474971652,
422.0043335,0.003281426849,422.0043335,0.3503604531,
421.0042725,0.003134034807,421.0042725,0.3530870974,
420.0040894,0.002633791184,420.0040894,0.3555388451,
419.0037231,0.002432027366,419.0037231,0.3581224084,
418.0031738,0.002235301072,418.0031738,0.3604852855,
