Baseline 100%Tv1,,Baseline 100%Tv2,,100,,200,,100_v2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
,,630.0059814,0.00400921097,630.0059814,2.581099033,630.0059814,0.02019330487,630.0059814,0.09394353628,
,,629.0146484,0.00422598049,629.0146484,2.550256014,629.0146484,0.02003203705,629.0146484,0.0945179835,
,,627.9862671,0.00408158591,627.9862671,2.599879503,627.9862671,0.02013825998,627.9862671,0.09530419856,
,,626.9943848,0.004030451644,626.9943848,2.583052158,626.9943848,0.0204958301,626.9943848,0.09610114247,
,,626.0022583,0.004428945482,626.0022583,2.592633724,626.0022583,0.02028128505,626.0022583,0.09666939825,
,,625.0097656,0.004098048434,625.0097656,2.553461552,625.0097656,0.02070836537,625.0097656,0.09750342369,
,,624.0170898,0.004109389614,624.0170898,2.591615915,624.0170898,0.02032151073,624.0170898,0.09808782488,
,,622.9873047,0.003981256858,622.9873047,2.554370642,622.9873047,0.02050055191,622.9873047,0.09882753342,
,,621.9939575,0.003937056754,621.9939575,2.564630032,621.9939575,0.02060528845,621.9939575,0.09961957484,
,,621.0004883,0.004072231241,621.0004883,2.566922426,621.0004883,0.02064616792,621.0004883,0.09990906715,
,,620.0065918,0.003953905776,620.0065918,2.564991236,620.0065918,0.0207404308,620.0065918,0.1009259224,
,,619.0125122,0.003983947914,619.0125122,2.560268164,619.0125122,0.02080258541,619.0125122,0.1015903354,
,,618.0181274,0.003977991175,618.0181274,2.541143417,618.0181274,0.02071862854,618.0181274,0.1022267789,
,,616.9866333,0.00374849909,616.9866333,2.561110258,616.9866333,0.02108708397,616.9866333,0.1032759771,
,,615.9917603,0.003925694153,615.9917603,2.569186211,615.9917603,0.02093013003,615.9917603,0.1036503986,
,,614.996582,0.003862616373,614.996582,2.600119114,614.996582,0.02114129998,614.996582,0.1048251167,
,,614.0011597,0.003736305516,614.0011597,2.56825161,614.0011597,0.02114611119,614.0011597,0.1055053249,
,,613.0053101,0.003762233304,613.0053101,2.559404373,613.0053101,0.02118519321,613.0053101,0.1064600646,
,,612.0093384,0.003672341816,612.0093384,2.589770794,612.0093384,0.02127652802,612.0093384,0.1070555598,
,,611.0131226,0.003419685178,611.0131226,2.567300081,611.0131226,0.02150299028,611.0131226,0.1079702675,
,,610.0165405,0.003392030019,610.0165405,2.592941999,610.0165405,0.02136233449,610.0165405,0.108636409,
,,608.9828491,0.003787614172,608.9828491,2.574929237,608.9828491,0.02154844254,608.9828491,0.1094504669,
,,607.9857178,0.003492927644,607.9857178,2.588240623,607.9857178,0.02169277705,607.9857178,0.1103404984,
,,606.9883423,0.003542954568,606.9883423,2.593891859,606.9883423,0.02140505426,606.9883423,0.1108216494,
,,605.9907837,0.00309284078,605.9907837,2.571923971,605.9907837,0.02185360156,605.9907837,0.1119573563,
,,604.9929199,0.003144881455,604.9929199,2.569842339,604.9929199,0.02191512845,604.9929199,0.1126881316,
,,603.994751,0.003315022215,603.994751,2.574281931,603.994751,0.02209638059,603.994751,0.1135031655,
,,602.9963379,0.003370663617,602.9963379,2.568713903,602.9963379,0.02201982401,602.9963379,0.1140271425,
,,601.9976807,0.003207489848,601.9976807,2.593036652,601.9976807,0.02198420465,601.9976807,0.1150625646,
,,600.9987793,0.002954530064,600.9987793,2.587343693,600.9987793,0.02218362875,600.9987793,0.1158251166,
,,599.9995117,0.002728234744,599.9995117,2.610271454,599.9995117,0.02207581699,599.9995117,0.1168026701,
,,599.000061,0.002612331882,599.000061,2.617547512,599.000061,0.02207573503,599.000061,0.1174965277,
,,598.0003052,0.002064178232,598.0003052,2.575968742,598.0003052,0.02232089825,598.0003052,0.1187339202,
,,597.0003662,0.002339495812,597.0003662,2.579538345,597.0003662,0.02252721228,597.0003662,0.1193811148,
,,596.000061,0.002504036063,596.000061,2.55976367,596.000061,0.02250872739,596.000061,0.1201339513,
,,594.9996338,0.002029509284,594.9996338,2.600196362,594.9996338,0.0226570908,594.9996338,0.1211571917,
,,593.9987793,0.002029509284,593.9987793,2.574966431,593.9987793,0.02258869633,593.9987793,0.1218485832,
,,592.9978027,0.001583454548,592.9978027,2.582825422,592.9978027,0.02303443104,592.9978027,0.1233810931,
,,591.9963989,0.001311367843,591.9963989,2.58513546,591.9963989,0.02294755541,591.9963989,0.1241805628,
,,590.994873,0.00142458675,590.994873,2.579144716,590.994873,0.02279456519,590.994873,0.1245640665,
,,589.993103,0.001203603577,589.993103,2.579283237,589.993103,0.02288973145,589.993103,0.1255976409,
,,588.9909668,0.001088651712,588.9909668,2.616736174,588.9909668,0.02308714204,588.9909668,0.1267223507,
,,587.9886475,0.0007985132979,587.9886475,2.630599499,587.9886475,0.02320083044,587.9886475,0.1278023124,
,,586.986084,0.0004370196257,586.986084,2.564351082,586.986084,0.02357161976,586.986084,0.1288205385,
,,585.9832764,0.0004558062647,585.9832764,2.590192795,585.9832764,0.02335238084,585.9832764,0.1294239014,
,,585.0172729,0.0001441828936,585.0172729,2.583616495,585.0172729,0.02355191484,585.0172729,0.1304733157,
,,584.013916,-1.226977565E-005,584.013916,2.637658596,584.013916,0.02362808771,584.013916,0.1315040886,
,,583.0103149,-0.0004197192902,583.0103149,2.615695477,583.0103149,0.0239957124,583.0103149,0.1325376779,
,,582.0065308,-0.000406995503,582.0065308,2.648534298,582.0065308,0.0239250008,582.0065308,0.1333913207,
